Main_Category_ID,Subcategory_ID,Main_Title,Sub_Title,SUB_URL,Main_URL,Final_URL,,,
328,548,Finance & Accounting,Money Management Tools,/courses/finance-and-accounting/money-management-tools/,https://www.udemy.com,https://www.udemy.com/courses/finance-and-accounting/money-management-tools/,"""",",","""https://www.udemy.com/courses/finance-and-accounting/money-management-tools/"","
328,550,Finance & Accounting,Taxes,/courses/finance-and-accounting/taxes/,https://www.udemy.com,https://www.udemy.com/courses/finance-and-accounting/taxes/,"""",",","""https://www.udemy.com/courses/finance-and-accounting/taxes/"","
328,552,Finance & Accounting,Other Finance & Accounting,/courses/finance-and-accounting/other-finance-and-accounting/,https://www.udemy.com,https://www.udemy.com/courses/finance-and-accounting/other-finance-and-accounting/,"""",",","""https://www.udemy.com/courses/finance-and-accounting/other-finance-and-accounting/"","
294,132,IT & Software,IT Certifications,/courses/it-and-software/it-certification/,https://www.udemy.com,https://www.udemy.com/courses/it-and-software/it-certification/,"""",",","""https://www.udemy.com/courses/it-and-software/it-certification/"","
294,134,IT & Software,Network & Security,/courses/it-and-software/network-and-security/,https://www.udemy.com,https://www.udemy.com/courses/it-and-software/network-and-security/,"""",",","""https://www.udemy.com/courses/it-and-software/network-and-security/"","
294,136,IT & Software,Hardware,/courses/it-and-software/hardware/,https://www.udemy.com,https://www.udemy.com/courses/it-and-software/hardware/,"""",",","""https://www.udemy.com/courses/it-and-software/hardware/"","
294,138,IT & Software,Operating Systems & Servers,/courses/it-and-software/operating-systems/,https://www.udemy.com,https://www.udemy.com/courses/it-and-software/operating-systems/,"""",",","""https://www.udemy.com/courses/it-and-software/operating-systems/"","
294,140,IT & Software,Other IT & Software,/courses/it-and-software/other-it-and-software/,https://www.udemy.com,https://www.udemy.com/courses/it-and-software/other-it-and-software/,"""",",","""https://www.udemy.com/courses/it-and-software/other-it-and-software/"","
292,96,Office Productivity,Microsoft,/courses/office-productivity/microsoft/,https://www.udemy.com,https://www.udemy.com/courses/office-productivity/microsoft/,"""",",","""https://www.udemy.com/courses/office-productivity/microsoft/"","
292,98,Office Productivity,Apple,/courses/office-productivity/apple/,https://www.udemy.com,https://www.udemy.com/courses/office-productivity/apple/,"""",",","""https://www.udemy.com/courses/office-productivity/apple/"","
292,100,Office Productivity,Google,/courses/office-productivity/google/,https://www.udemy.com,https://www.udemy.com/courses/office-productivity/google/,"""",",","""https://www.udemy.com/courses/office-productivity/google/"","
292,102,Office Productivity,SAP,/courses/office-productivity/sap/,https://www.udemy.com,https://www.udemy.com/courses/office-productivity/sap/,"""",",","""https://www.udemy.com/courses/office-productivity/sap/"","
292,106,Office Productivity,Oracle,/courses/office-productivity/oracle/,https://www.udemy.com,https://www.udemy.com/courses/office-productivity/oracle/,"""",",","""https://www.udemy.com/courses/office-productivity/oracle/"","
292,108,Office Productivity,Other Office Productivity,/courses/office-productivity/other-productivity/,https://www.udemy.com,https://www.udemy.com/courses/office-productivity/other-productivity/,"""",",","""https://www.udemy.com/courses/office-productivity/other-productivity/"","
296,142,Personal Development,Personal Transformation,/courses/personal-development/personal-transformation/,https://www.udemy.com,https://www.udemy.com/courses/personal-development/personal-transformation/,"""",",","""https://www.udemy.com/courses/personal-development/personal-transformation/"","
296,144,Personal Development,Personal Productivity,/courses/personal-development/productivity/,https://www.udemy.com,https://www.udemy.com/courses/personal-development/productivity/,"""",",","""https://www.udemy.com/courses/personal-development/productivity/"","
296,146,Personal Development,Leadership,/courses/personal-development/leadership/,https://www.udemy.com,https://www.udemy.com/courses/personal-development/leadership/,"""",",","""https://www.udemy.com/courses/personal-development/leadership/"","
296,150,Personal Development,Career Development,/courses/personal-development/career-development/,https://www.udemy.com,https://www.udemy.com/courses/personal-development/career-development/,"""",",","""https://www.udemy.com/courses/personal-development/career-development/"","
296,152,Personal Development,Parenting & Relationships,/courses/personal-development/parenting-and-relationships/,https://www.udemy.com,https://www.udemy.com/courses/personal-development/parenting-and-relationships/,"""",",","""https://www.udemy.com/courses/personal-development/parenting-and-relationships/"","
296,156,Personal Development,Happiness,/courses/personal-development/happiness/,https://www.udemy.com,https://www.udemy.com/courses/personal-development/happiness/,"""",",","""https://www.udemy.com/courses/personal-development/happiness/"","
296,577,Personal Development,Esoteric Practices,/courses/lifestyle/esoteric-practices/,https://www.udemy.com,https://www.udemy.com/courses/lifestyle/esoteric-practices/,"""",",","""https://www.udemy.com/courses/lifestyle/esoteric-practices/"","
